Metro,Aging Index 2020,Aging Index_2025,Aging Index Change,Aging Index Percent Change,Percent 65 and over in 2025
"Pittsburgh, PA",134.5525489,158.9182911,24.36574224,18.10871845,23.50148143
"Tampa-St. Petersburg-Clearwater, FL",123.1859861,141.9728963,18.78691025,15.25085024,21.76217755
"Providence-Warwick, RI-MA",112.971881,138.053608,25.08172706,22.20174334,20.58793053
"Cleveland, OH",113.8291873,136.9655757,23.13638832,20.32553237,22.24543177
"Hartford-West Hartford-East Hartford, CT",114.365419,136.8524276,22.48700863,19.66241967,20.967607
"Miami-Fort Lauderdale-West Palm Beach, FL",112.3758875,130.9121041,18.53621663,16.49483448,20.61644744
"Boston-Cambridge-Newton, MA-NH",103.9971347,125.2259938,21.22885908,20.41292689,19.01170012
"San Francisco-Oakland-Fremont, CA",98.1856652,124.8933068,26.70764158,27.20116172,18.72158367
"St. Louis, MO-IL",94.92264435,117.473821,22.55117668,23.75742568,20.10150578
"Portland-Vancouver-Hillsboro, OR-WA",90.71196827,116.1168113,25.40484305,28.00605426,18.14436793
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",95.06618291,114.4274831,19.36130017,20.36612766,19.1037361
"Detroit-Warren-Dearborn, MI",94.91474979,114.3555066,19.44075681,20.48233478,19.48426216
"Los Angeles-Long Beach-Anaheim, CA",84.73331337,111.3462651,26.61295175,31.40789696,17.39470795
"New York-Newark-Jersey City, NY-NJ",91.343106,109.6500625,18.3069565,20.04196846,18.12285108
"Richmond, VA",92.07797364,108.8114468,16.73347316,18.17315531,18.51169406
"Jacksonville, FL",91.53639086,108.432886,16.89649516,18.45877361,19.04805377
"Milwaukee-Waukesha, WI",86.86722805,107.6917849,20.82455684,23.97285755,19.11486276
"San Diego-Chula Vista-Carlsbad, CA",84.28897075,106.6633837,22.37441298,26.54488811,17.48780104
"Baltimore-Columbia-Towson, MD",88.50956601,106.1651327,17.65556672,19.94763675,18.44238589
"Sacramento-Roseville-Folsom, CA",86.91030033,106.1255063,19.21520597,22.10923895,18.53036846
"Virginia Beach-Chesapeake-Norfolk, VA-NC",85.91279924,106.0655114,20.15271212,23.45717088,18.44784119
"Chicago-Naperville-Elgin, IL-IN",83.26561922,105.8006007,22.53498148,27.06396913,17.65006668
"San Jose-Sunnyvale-Santa Clara, CA",78.10004001,105.1853135,27.08527344,34.68022992,16.22329959
"Birmingham, AL",90.48244339,105.0080745,14.52563114,16.05353547,18.78363553
"Louisville/Jefferson County, KY-IN",89.12121344,103.8786103,14.75739682,16.55879252,18.65114591
"Phoenix-Mesa-Chandler, AZ",84.11541812,102.7859618,18.67054364,22.19633933,18.20109552
"Orlando-Kissimmee-Sanford, FL",86.03728365,102.3883957,16.3511121,19.00468193,17.09736577
"Cincinnati, OH-KY-IN",83.31096808,100.4188285,17.10786039,20.5349437,18.23458249
"Las Vegas-Henderson-North Las Vegas, NV",79.35351559,98.66783451,19.31431892,24.3395882,16.98706312
"Grand Rapids-Wyoming-Kentwood, MI",78.7621925,98.58414809,19.8219556,25.1668408,17.73597658
"Seattle-Tacoma-Bellevue, WA",77.45895049,95.60225909,18.14330861,23.42312734,15.77293259
"Kansas City, MO-KS",77.74357329,94.87273185,17.12915856,22.03289331,17.60814592
"Minneapolis-St. Paul-Bloomington, MN-WI",75.69483649,94.71290991,19.01807342,25.12466412,17.28306108
"Denver-Aurora-Centennial, CO",74.4892726,92.46508651,17.9758139,24.13208409,15.41744164
"Washington-Arlington-Alexandria, DC-VA-MD-WV",70.24458365,87.87041513,17.62583148,25.09208621,15.63138173
"Memphis, TN-MS-AR",72.97242854,86.47890315,13.5064746,18.50901069,17.00268076
"Charlotte-Concord-Gastonia, NC-SC",73.67314766,86.13367282,12.46052516,16.91325206,15.81595397
"Oklahoma City, OK",71.45754685,85.88512845,14.42758161,20.19042389,16.36362194
"Columbus, OH",71.47396049,85.09117439,13.6172139,19.05199293,15.91799924
"Indianapolis-Carmel-Greenwood, IN",70.5853654,84.30524749,13.7198821,19.4372899,16.33607548
"Nashville-Davidson--Murfreesboro--Franklin, TN",72.4679323,84.19977553,11.73184323,16.18901335,15.36345417
"Atlanta-Sandy Springs-Roswell, GA",67.00840273,83.40210161,16.39369889,24.46513903,15.08004558
"Riverside-San Bernardino-Ontario, CA",66.9372061,83.34221936,16.40501326,24.50806392,15.92996194
"Raleigh-Cary, NC",64.36764418,81.15528768,16.78764351,26.08087296,14.7500188
"San Antonio-New Braunfels, TX",68.82251258,80.44117837,11.61866578,16.8820715,15.52180126
"Austin-Round Rock-San Marcos, TX",60.51534855,71.98739713,11.47204858,18.9572544,12.69259752
"Fresno, CA",57.48551911,68.4485244,10.96300528,19.07089899,14.67870163
"Dallas-Fort Worth-Arlington, TX",56.29769523,67.60638301,11.30868778,20.0873015,13.31342572
"Houston-Pasadena-The Woodlands, TX",55.6563693,67.58717459,11.93080529,21.43654975,13.7838256
"Salt Lake City-Murray, UT",50.65760159,66.92165729,16.26405571,32.1058542,12.80433698
