County,2020,2025,Change 2020-2025,Percent Decline
Bond County,2499,2295,-204,-8.163265306
Calhoun County,745,696,-49,-6.577181208
Clinton County,6710,6605,-105,-1.564828614
Jersey County,3566,3235,-331,-9.282108805
Macoupin County,7666,6967,-699,-9.11818419
Madison County,46922,43865,-3057,-6.515067559
Madison County,6574,5951,-623,-9.476726498
St. Clair County,50416,44551,-5865,-11.63321168
Franklin County,19550,18917,-633,-3.237851662
Jefferson County,43151,40755,-2396,-5.552594378
Lincoln County,12763,13405,642,5.030165322
St. Charles County,77553,74629,-2924,-3.77032481
St. Louis County,182884,172144,-10740,-5.872574966
Warren County,6950,6994,44,0.633093525
St. Louis city,47398,40580,-6818,-14.38457319
Saint Louis MSA,515347,481589,-33758,-6.550537793
