Metro,Decline in Children under 5  - 2020-2025,Percent Decline - 2020-2025
"Los Angeles-Long Beach-Anaheim, CA",-116868,-16.02435162
"San Jose-Sunnyvale-Santa Clara, CA",-14681,-13.1176397
"St. Louis, MO-IL",-18267,-11.19253463
"Chicago-Naperville-Elgin, IL-IN",-59826,-11.12503719
"Salt Lake City-Murray, UT",-9236,-10.66438815
"San Diego-Chula Vista-Carlsbad, CA",-20607,-10.5792481
"San Francisco-Oakland-Fremont, CA",-24315,-9.860617145
"Portland-Vancouver-Hillsboro, OR-WA",-12509,-9.34483789
"Milwaukee-Waukesha, WI",-8905,-9.31037367
"Riverside-San Bernardino-Ontario, CA",-27734,-9.278347067
"Las Vegas-Henderson-North Las Vegas, NV",-12566,-9.11048438
"Pittsburgh, PA",-10108,-8.371915817
"Grand Rapids-Wyoming-Kentwood, MI",-4990,-7.085250185
"Minneapolis-St. Paul-Bloomington, MN-WI",-15918,-6.970114943
"Virginia Beach-Chesapeake-Norfolk, VA-NC",-7354,-6.853361912
"Detroit-Warren-Dearborn, MI",-16979,-6.820519001
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-25785,-6.645687069
"Cleveland, OH",-7619,-6.518540066
"Seattle-Tacoma-Bellevue, WA",-14774,-6.279139944
"Sacramento-Roseville-Folsom, CA",-8038,-5.807551696
"Fresno, CA",-4759,-5.655915001
"Baltimore-Columbia-Towson, MD",-8555,-5.221302671
"Memphis, TN-MS-AR",-3865,-4.359743717
"Phoenix-Mesa-Chandler, AZ",-11744,-3.957379988
"Columbus, OH",-5363,-3.899059224
"Kansas City, MO-KS",-5170,-3.775955127
"New York-Newark-Jersey City, NY-NJ",-40522,-3.557544748
"Providence-Warwick, RI-MA",-2789,-3.357975342
"Cincinnati, OH-KY-IN",-3311,-2.44093037
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-8380,-2.438570148
"Miami-Fort Lauderdale-West Palm Beach, FL",-7381,-2.196235959
"Tampa-St. Petersburg-Clearwater, FL",-3184,-1.936716098
"Hartford-West Hartford-East Hartford, CT",-1051,-1.858302244
"Oklahoma City, OK",-1354,-1.477827136
"Birmingham, AL",-913,-1.308641621
"Boston-Cambridge-Newton, MA-NH",-3215,-1.279143789
"Atlanta-Sandy Springs-Roswell, GA",-2667,-0.728195103
"Denver-Aurora-Centennial, CO",-885,-0.522053055
"Louisville/Jefferson County, KY-IN",810,1.012664558
"San Antonio-New Braunfels, TX",2008,1.200655338
"Richmond, VA",1172,1.570856063
"Houston-Pasadena-The Woodlands, TX",9871,1.993847372
"Jacksonville, FL",2676,2.814442423
"Indianapolis-Carmel-Greenwood, IN",3763,2.824884205
"Orlando-Kissimmee-Sanford, FL",6465,4.374006292
"Dallas-Fort Worth-Arlington, TX",27210,5.383343094
"Raleigh-Cary, NC",5646,6.715672281
"Charlotte-Concord-Gastonia, NC-SC",12595,7.836415221
"Nashville-Davidson--Murfreesboro--Franklin, TN",10018,8.131691518
"Austin-Round Rock-San Marcos, TX",17532,12.79157151
