Age Group,2020,2021,2022,2023,2024,2025,Change 2020-2025
Total,2820862,2814042,2803083,2804698,2811394,2814421,-6441
Age 0-4,163207,158453,155578,152341,148838,144940,-18267
Age 5-9,171078,169363,167831,167480,166491,165038,-6040
Age 10-14,181062,179088,176379,173862,172513,171611,-9451
Age 15-19,180573,176659,175090,175771,175689,175312,-5261
Age 20-24,173765,175592,173119,172423,172582,170275,-3490
Age 25-29,181947,179020,175788,175487,177002,180295,-1652
Age 30-34,186988,187257,187180,187060,186714,184323,-2665
Age 35-39,186650,187805,186999,186923,188563,189568,2918
Age 40-44,169434,175647,179222,183049,185107,186844,17410
Age 45-49,165471,159202,158135,159958,164099,168947,3476
Age 50-54,173778,171751,169421,166633,162871,158973,-14805
Age 55-59,200394,191644,183161,175405,169251,165298,-35096
Age 60-64,197334,198492,196472,194012,191245,187256,-10078
Age 65-69,163277,168224,172817,177074,179838,181347,18070
Age 70-74,126206,134104,134657,137672,141995,147483,21277
Age 75-79,85444,86831,94196,98131,103592,109069,23625
Age 80-84,55580,56877,58904,62400,64706,66455,10875
Age 85+,58674,58033,58134,59017,60298,61387,2713
