Age Group,2020,2025,Change
Total,405266,426499,21233
Age 0-4,23101,21475,-1626
Age 5-9,26322,25435,-887
Age 10-14,28130,27719,-411
Age 15-19,27481,27759,278
Age 20-24,23344,26132,2788
Age 25-29,22926,25253,2327
Age 30-34,26677,26654,-23
Age 35-39,28656,29304,648
Age 40-44,26406,30472,4066
Age 45-49,25383,27157,1774
Age 50-54,25538,25056,-482
Age 55-59,29076,25081,-3995
Age 60-64,27135,27826,691
Age 65-69,21683,26328,4645
Age 70-74,17135,20763,3628
Age 75-79,11735,15718,3983
Age 80-84,7499,9866,2367
Age 85+,7039,8501,1462
