district,title,first_name,last_name,salutation,room,phone,email,party,leadership_role,committees,committee_role,geography,alignment_segment,ask_tier
2,Sen.,Nick,Schroer,Senator,227,(573) 751-1282,nick.schroer@senate.mo.gov,R,,"Judiciary and Civil and Criminal Jurisprudence (Chair); Education",Chair,St. Charles County,JUDICIARY,A
15,Sen.,David,Gregory,Senator,331,(573) 751-5568,david.gregory@senate.mo.gov,R,,"Judiciary and Civil and Criminal Jurisprudence (Vice-Chair); Education",Vice-Chair,,JUDICIARY,A
4,Sen.,Karla,May,Senator,225,(573) 751-3599,karla.may@senate.mo.gov,D,,"Judiciary and Civil and Criminal Jurisprudence; Appropriations",Member,St. Louis City,JUDICIARY,B
5,Sen.,Steven,Roberts,Senator,434,(573) 751-4415,steven.roberts@senate.mo.gov,D,,"Judiciary and Civil and Criminal Jurisprudence; Families, Seniors and Health",Member,St. Louis City,JUDICIARY,B
22,Sen.,Mary Elizabeth,Coleman,Senator,331A,(573) 751-1492,mary.elizabeth.coleman@senate.mo.gov,R,,"Judiciary and Civil and Criminal Jurisprudence",Member,,JUDICIARY,B
23,Sen.,Adam,Schnelting,Senator,219,(573) 751-1141,adam.schnelting@senate.mo.gov,R,,"Judiciary and Civil and Criminal Jurisprudence",Member,St. Charles & Lincoln County,JUDICIARY,B
26,Sen.,Ben,Brown,Senator,430,(573) 751-3678,ben.brown@senate.mo.gov,R,Majority Caucus Chairman,"Judiciary and Civil and Criminal Jurisprudence",Member,,JUDICIARY,B
27,Sen.,Jamie,Burger,Senator,334,(573) 751-2459,jamie.burger@senate.mo.gov,R,,"Judiciary and Civil and Criminal Jurisprudence",Member,,JUDICIARY,B
32,Sen.,Jill,Carter,Senator,320,(573) 751-2173,jill.carter@senate.mo.gov,R,Majority Caucus Whip,"Families, Seniors and Health (Chair)",Chair,,FAMILIES,A
11,Sen.,Joe,Nicola,Senator,226,(573) 751-3074,joe.nicola@senate.mo.gov,R,,"Families, Seniors and Health (Vice-Chair)",Vice-Chair,,FAMILIES,A
7,Sen.,Patty,Lewis,Senator,425,(573) 751-6607,patty.lewis@senate.mo.gov,R,,"Families, Seniors and Health",Member,,FAMILIES,B
17,Sen.,Maggie,Nurrenbern,Senator,330,(573) 751-5282,maggie.nurrenbern@senate.mo.gov,R,,"Families, Seniors and Health; Education; Appropriations",Member,,FAMILIES,B
31,Sen.,Rick,Brattin,Senator,331,(573) 751-2108,rick.brattin@senate.mo.gov,R,,"Families, Seniors and Health; Education (Chair)",Member,,FAMILIES,B
33,Sen.,Brad,Hudson,Senator,426,(573) 751-1882,brad.hudson@senate.mo.gov,R,,"Families, Seniors and Health; Education (Vice-Chair); Appropriations (Vice-Chair)",Member,,FAMILIES,B
18,Sen.,Cindy,O'Laughlin,Senator,326,(573) 751-7985,cindy.olaughlin@senate.mo.gov,R,President Pro Tem,"Education",Member,,LEADERSHIP,A
34,Sen.,Tony,Luetkemeyer,Senator,332,(573) 751-2183,tony.luetkemeyer@senate.mo.gov,R,Majority Floor Leader,"",,,LEADERSHIP,A
20,Sen.,Curtis,Trent,Senator,323,(573) 751-1503,curtis.trent@senate.mo.gov,R,Assistant Majority Floor Leader,"",,,LEADERSHIP,B
14,Sen.,Brian,Williams,Senator,428A,(573) 751-4106,brian.williams@senate.mo.gov,D,,"Appropriations",Member,St. Louis County,GEOGRAPHY,B
1,Sen.,Doug,Beck,Senator,333,(573) 751-0220,doug.beck@senate.mo.gov,D,,"",,St. Louis County,GEOGRAPHY,C
13,Sen.,Angela,Mosley,Senator,421,(573) 751-2420,angela.mosley@senate.mo.gov,D,,"",,St. Louis County,GEOGRAPHY,C
24,Sen.,Tracy,McCreery,Senator,427,(573) 751-9762,tracy.mccreery@senate.mo.gov,D,,"",,St. Louis County,GEOGRAPHY,C
