FullName,Address1,Address2,City,State,Zip,Salutation,District
"The Honorable Nick Schroer","Missouri Senate","201 W. Capitol Ave., Rm. 227","Jefferson City","MO","65101","Senator Schroer","2"
"The Honorable David Gregory","Missouri Senate","201 W. Capitol Ave., Rm. 331","Jefferson City","MO","65101","Senator Gregory","15"
"The Honorable Karla May","Missouri Senate","201 W. Capitol Ave., Rm. 225","Jefferson City","MO","65101","Senator May","4"
"The Honorable Steven Roberts","Missouri Senate","201 W. Capitol Ave., Rm. 434","Jefferson City","MO","65101","Senator Roberts","5"
"The Honorable Mary Elizabeth Coleman","Missouri Senate","201 W. Capitol Ave., Rm. 331A","Jefferson City","MO","65101","Senator Coleman","22"
"The Honorable Adam Schnelting","Missouri Senate","201 W. Capitol Ave., Rm. 219","Jefferson City","MO","65101","Senator Schnelting","23"
"The Honorable Ben Brown","Missouri Senate","201 W. Capitol Ave., Rm. 430","Jefferson City","MO","65101","Senator Brown","26"
"The Honorable Jamie Burger","Missouri Senate","201 W. Capitol Ave., Rm. 334","Jefferson City","MO","65101","Senator Burger","27"
"The Honorable Jill Carter","Missouri Senate","201 W. Capitol Ave.","Jefferson City","MO","65101","Senator Carter","32"
"The Honorable Brad Hudson","Missouri Senate","201 W. Capitol Ave.","Jefferson City","MO","65101","Senator Hudson","33"
"The Honorable Maggie Nurrenbern","Missouri Senate","201 W. Capitol Ave.","Jefferson City","MO","65101","Senator Nurrenbern","17"
"The Honorable Rick Brattin","Missouri Senate","201 W. Capitol Ave.","Jefferson City","MO","65101","Senator Brattin","31"
